,Stock Name,Number of Feartures Selected,Train R^2,Train Correlation,Train MAE,Train Directional Accuracy,Test R^2,Test Correlation,Test MAE,Test Directional Accuracy,EBITDA,Management - Balancesheet Net Debt To Equity - Average,Management - Capital Discipline  Avg ( delta Earn For Common/delta Capital Employed),People Filter Avg (Sales/Employee),Strategy Filter EBITDA CAGR, Revenue CAGR, Margin CAGR,Financial Filter ( Last 3 Year Data ) ROE Avg, Free Cash Flow Avg,US IP IP Index Last Price,EU EUCCEMU Index Last Price,EU ECCPEMUY Index Last Price,Chinese Renminbi USDCNY Curncy Last Price,Japanese Yen USDJPY Curncy Last Price,Indian Rupee USDINR Curncy Last Price,LME Copper LMCADY Comdty Last Price,S&P 500 SPX Index Last Price,Germany EHUPDE Index Last Price,Italy EHUPIT Index Last Price,Hibor HIHD03M Index Last Price,Topix Japan TPX Index Price Earnings Ratio (P/E),MSCI China MXCN Index Price Earnings Ratio (P/E),MSCI Asia Pacific MXAP Index Price Earnings Ratio (P/E),India Commercial Credit INCMCREY Index Last Price, FDTGOFSF Index PX_LAST, FDTGOFSF Index PX_LAST.1, MXAPJ Index PE_RATIO, MXAPJ Index RETURN_COM_EQY, JAPAN (10 YEAR ISSUE) GTJPY10Y Govt,1D China CNCPIYOY Index Last Price,1D LME Copper LMCADY Comdty Last Price,1D UBS US real estate bubble index CHBBNYC Index Last Price,1D France EHUPFR Index Last Price,1D Japan OEJPDGBO Index Last Price,1D Libor US0003M Index Last Price,1D S&P500 SPX Index Price Earnings Ratio (P/E),1D  VIX Index PX_LAST,1D  SHASHR Index PE_RATIO,1D  SPX Index PX_LAST,2D EU ECCPEMUY Index Last Price,2D LME Copper LMCADY Comdty Last Price,2D UK EHUPGB Index Last Price,2D S&P500 SPX Index Price Earnings Ratio (P/E),2D  VIX Index PX_LAST,2D  FDTGOFSF Index PX_LAST,2D  FDTGOFSF Index PX_LAST.1,2D  SHASHR Index PX_TO_BOOK_RATIO,2D  SHCOMP Index PX_LAST,2D  SPX Index PE_RATIO,2D  SPX Index PX_TO_BOOK_RATIO
0,AAPL UW Equity,11,0.7900621331607869,0.888854393678058,0.2434551745801127,87.65432098765432,0.536282263442521,0.7654292171544055,0.3242099425205984,94.44444444444444,0.0,-9.813836439052471,0.0,0.0,0.0,0.0,0.0,-1.8598293523160998,0.0,0.0,0.0,-0.161221967027726,0.0,-0.26302477169642624,0.39109522702983057,0.0,0.0,-0.4355451545415895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4245222038634928,0.0,0.21078046899749983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14879499989965225,-0.05177823618829809,0.0,0.0
1,ABT UN Equity,12,0.682853238351188,0.8263493440132857,0.08289056535181645,79.16666666666666,0.5708678834717864,0.7575308871642793,0.10875545059156767,78.57142857142857,0.0,0.0,0.0,-11.670671670571647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5123341784587364,-0.10642488028599974,0.08828378033015814,0.0,-0.027821211881357354,0.2603478669005922,0.0,0.11129939051202133,0.07132201145063947,0.0,0.0,0.0,0.0,0.0,0.0,0.11390945160385167,0.0,0.0,0.03661501149641308,0.0,-0.05056600399940016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ACN UN Equity,10,0.8443328423468276,0.9188758579627762,0.06620123871005981,88.73239436619718,0.734384584685556,0.8735262623126256,0.08485992762897117,90.32258064516128,0.0,9.259192637347583,-3.5158514417447932,1.3226761361838726e-14,0.0,-0.36368472601412233,0.0,0.0,0.0,0.0,0.0,0.0,0.08821689796780977,0.0,0.0,0.0,-0.1939458505565927,0.0,0.2700225456217188,0.18408741530069558,0.0,0.0,0.0,0.0,0.0,0.0,-0.45474246562682913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ADBE UW Equity,15,0.8925544703606627,0.9447510097166678,0.18061577468937243,87.62886597938144,0.8285338554527829,0.9115652753861735,0.2555634032843441,76.19047619047619,0.0,-15.504952388000929,37.49746655671765,0.0,0.0,0.36608418376534935,0.0,-1.9970351457299944,1.1965055474781645,0.0,0.0,-0.4419728212134044,0.0,0.0,0.27642725396865114,0.4712852292381608,-0.1939446419032275,-0.3399198860569863,0.5914252421014825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6256840376055836,-0.10534090725215271,0.0,0.0,0.0,0.0,0.1805329411256105,0.0,0.0,0.0,0.0,0.0,-0.08502807817280726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AMGN UW Equity,12,0.8507495582209914,0.9223608611714782,0.13981391892358777,74.0,0.7903546461689761,0.9088847833222522,0.14428739382539837,81.81818181818183,0.0,0.0,-11.93156963663398,0.0,0.0,0.0,0.0,0.0,0.0,0.5341683495235651,0.0,0.0,-0.2627357423662342,0.18753710137187315,-0.2270924801377732,0.0,-0.25622538309038156,0.0,0.2852140301627999,0.0,0.0,0.0,0.0,0.1334344073458368,-0.29337997000470023,-0.29337997000470106,0.0,-0.3839479771492484,0.0,0.0,0.0,0.1388330846439513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,BA UN Equity,14,0.8706449366323108,0.9330835635849081,0.09429643087254555,90.36144578313254,0.6768219346255162,0.8358982860367137,0.15284743975128567,83.33333333333334,0.0,0.0,-4.565133612950434,0.0,0.0,0.0,0.0,0.0,-0.13574417137084807,0.0,-0.1610389579015967,-0.08778222534908511,0.5021820792355582,-0.23774314870997,0.25790379161646043,0.14689221597367197,0.0,-0.10863820831755115,0.0,0.20990590392800562,0.10981498295441834,-0.05302531392321782,-0.053025313923217916,0.0,0.0,0.0,0.0,0.07280558162576334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,BDX UN Equity,15,0.707401416337478,0.841071588116897,0.09925853387232644,92.0,0.7399718520333406,0.8625185267492531,0.09934969685661059,88.63636363636364,-1.8464267134928285,10.028849305346277,0.0,0.0,0.0,0.0,0.0,2.56241802604854,0.0,0.0,0.0,-0.08341539460058753,-0.4039238180169409,0.0,0.0,0.0,-0.09093749992043418,0.24678383913803167,-0.3554689595748553,0.15813426894543703,0.0741826516579679,0.0,0.0,0.0,-0.1140083346430172,-0.11400833464312822,0.05420880787143113,0.22145137539161466,0.08471556071785419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,BMY UN Equity,15,0.8904990622065029,0.943662578576953,0.067338485337317,80.21978021978022,0.8500430309599546,0.9261872445755988,0.08520984777947918,85.0,0.0,0.0,-1.8690311049556652,10.158429169195058,-0.4010940864647345,0.5027554614445949,0.0,-0.3179833207049282,-4.0967229608668276e-14,0.3464035481527888,0.0,0.0,0.30654541854352924,0.07853054001845834,0.0,0.27621503028601835,-0.1781264588690583,0.0,0.4524571038527167,0.0,0.0,0.0,0.0,0.06599153054160202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08509324805609161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CAT UN Equity,10,0.8021130983203952,0.8956076698646533,0.11353577190082333,88.77551020408163,0.7160445883479232,0.8483872537563122,0.13264173835180934,78.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09937506188535869,0.4932880340568832,0.0,0.0,0.0,-0.1300942113150838,-0.21807102331785766,0.0,0.0,0.11909741583720751,0.0,0.0,0.21754391948742888,-0.027299875800394387,-0.027299875800394443,-0.05163082760247805,0.0947257994525735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CI UN Equity,14,0.782312411596295,0.8844842630574579,0.1656043180328612,79.7752808988764,0.5814742791313587,0.7644536433505974,0.19309487625737354,84.61538461538461,0.0,0.0,0.0,0.0,-0.0819412322856302,0.0,0.0,-1.3706318243189497,0.0,0.0,0.0,-0.19421072745185428,-0.2870256768053248,0.0,0.3077114557750017,0.0,0.0,0.0,0.0,0.12937785433473395,0.1628352782125022,-0.05862601711436407,-0.05862601711436479,0.0,0.0,0.0,0.07763661688418494,0.38045783467012073,0.11261286445735086,0.0,0.0,0.0,0.0,-0.12705874291030014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12186605297223743,0.0,0.0,0.0,0.0,0.0,0.0
