,Stock Name,Number of Feartures Selected,Train R^2,Train Correlation,Train MAE,Train Directional Accuracy,Test R^2,Test Correlation,Test MAE,Test Directional Accuracy,EBITDA,2 EARN_FOR_COMMON,Management - Balancesheet Net Debt To Equity - Average,Management - Capital Discipline  Avg ( delta Earn For Common/delta Capital Employed),Strategy Filter EBITDA CAGR, Debt To Equity Avg,Nasdaq Composite CCMP Index Last Price,Topix Japan TPX Index Last Price,Japan OEJPDGBO Index Last Price,China CNMSM2 Index Last Price,1D Japanese Yen USDJPY Curncy Last Price,1D Swiss Franc USDCHF Curncy Last Price,1D Indian Rupee USDINR Curncy Last Price,1D Crude Palm Oil KO3 Comdty Last Price,1D Hibor HIHD03M Index Last Price,1D ECB ECMSM2 Index Last Price,1D S&P 500 SPX Index BEst EPS,1D S&P500 SPX Index BEst P/E Ratio,1D  SHASHR Index PE_RATIO,1D  SHASHR Index PX_TO_SALES_RATIO,1D  SPX Index PX_TO_SALES_RATIO,2D EU EUCCEMU Index Last Price,2D China CNCPIYOY Index Last Price,2D Swiss Franc USDCHF Curncy Last Price,2D Hong Kong China enterprises index HSCEI Index Last Price,2D Korea KOSPI Index Last Price,2D Germany Govt 10yr bond yield GDBR10 Index Last Price,2D US M2 Index Last Price,2D S&P 500 SPX Index Index Est Earnings Next Year,2D S&P500 SPX Index BEst P/E Ratio,2D  SHASHR Index PE_RATIO,2D  SHASHR Index PX_TO_BOOK_RATIO,2D  SPX Index PX_LAST,2D  SPX Index IDX_EST_EARNINGS_NXT_YR
0,AAPL UW Equity,3,0.420329686011906,0.6483283782250367,0.07361446044595617,74.07407407407408,-0.09638865232949034,0.291876085438032,0.10589322010191596,75.0,0.0,0.0,0.0,0.0036577650256606467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694854238204299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054654022261847,0.0,0.0
1,ABT UN Equity,1,0.10857358835917785,0.32950506575647337,0.044152196823854,59.375,-0.10047653668791034,0.1861230728653884,0.05306583253317161,54.761904761904766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200523046215002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ACN UN Equity,2,0.4610248597962294,0.6789881146207417,0.04011211977047872,74.64788732394366,0.1344176440346787,0.412833028828684,0.044167401754095156,61.29032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030652149797033772,0.05776451941274432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ADBE UW Equity,5,0.30926763278674696,0.5561183622096532,0.08546889177480978,74.22680412371135,0.23187783655317817,0.5789466173313954,0.10620474593269974,78.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029880141456091823,-0.03674340448081466,0.0,0.0,0.0,0.0,0.05032430358269991,0.0,0.0,0.0,0.0,0.0,-0.027767211088444186,0.0,0.03428790976176289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AMGN UW Equity,4,0.198882959368188,0.4459629573946565,0.07267125852792587,60.0,0.10074433133478189,0.3268163845054378,0.06712603495083799,45.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03325068477254251,0.0,-0.03384411816854394,0.0,0.0,0.0,0.0,0.0,-0.022150803023337017,0.0,0.0,0.0,0.0,0.0,0.030263606466509364,0.0,0.0
5,BA UN Equity,3,0.37731337753621375,0.6142583963904882,0.054365085725705635,71.08433734939759,-0.0685658070311288,0.32114379303814117,0.07443589875798265,55.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03502088825976699,0.07514308531815182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039384348908851785,0.0,0.0,0.0,0.0
6,BMY UN Equity,2,0.16718186082794317,0.40887878500595176,0.0488469212919403,58.24175824175825,0.2552405412096703,0.565899903794984,0.05697461219250183,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022031485932250457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013617970887943769,0.0,0.0,0.0
7,CAT UN Equity,1,0.2910505147958308,0.5394909774925172,0.05071205397152462,76.53061224489795,-0.08605030148004866,0.18212675320052016,0.07632359028405078,64.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04232569134616773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CI UN Equity,3,0.3738377688926826,0.6114227415566766,0.07365293736955761,65.1685393258427,-0.02603973989591002,0.2809657739013508,0.06913461149426385,61.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043535773910544535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02578818601462842,0.0,0.0,0.0,0.0,0.0,0.045699555015619606,0.0
9,CMCSA UW Equity,2,0.28861516581309943,0.5372291557734928,0.046673574118691954,71.64179104477611,0.34253576271733577,0.6124993377142494,0.04967717227757086,72.41379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032448226652408096,0.052812835955538574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,COP UN Equity,1,0.08961419178033359,0.2993562957085313,0.0548326593078736,61.25000000000001,0.16261361738514568,0.47851431224842544,0.0509514994702547,68.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021383020208678112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,COST UW Equity,2,0.26233972991598453,0.5121911068302384,0.05939311522956018,70.40816326530613,0.19942660064872963,0.4708753017208579,0.04685944252789977,64.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031798605761108135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03014188153136522,0.0
12,CSCO UW Equity,6,0.4361898620536765,0.6604467140153526,0.0698922362961632,75.51020408163265,0.3834159775058473,0.6352873258373718,0.08724347996659933,76.19047619047619,0.0,0.0,0.0,0.0,-0.08172848526434173,-4.870060113781406,0.0,0.0,0.0,-0.264070654872759,0.0,0.0,0.0,0.0,0.0,0.0,0.0617285951641657,0.07290791043757154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,CVS UN Equity,2,0.16267900888752984,0.40333485949956044,0.05622720281077341,71.73913043478261,0.1389890037054048,0.40995748374403457,0.05202372507687312,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017761798649577668,0.03451450585676191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
