,Stock Name,Number of Feartures Selected,Train R^2,Train Correlation,Train MAE,Train Directional Accuracy,Test R^2,Test Correlation,Test MAE,Test Directional Accuracy,EBITDA,Management - Capital Discipline  Avg ( delta Earn For Common/delta Capital Employed),People Filter Avg (Sales/Employee),Strategy Filter EBITDA CAGR, Margin CAGR,Financial Filter ( Last 3 Year Data ) ROE Avg,EU EUCCEMU Index Last Price,US EXP1CYOY Index Last Price,Germany GRTBEXE Index Last Price,US CPI YOY Index Last Price,EU ECCPEMUY Index Last Price,Japan JNCPIYOY Index Last Price,Japanese Yen USDJPY Curncy Last Price,Taiwanese Dollar USDTWD Curncy Last Price,S&P 500 SPX Index Last Price,Taiwan TWSE Index Last Price,US Federal debt  FDTGATPD Index Last Price,S&P500 SPX Index Price Earnings Ratio (P/E),Topix Japan TPX Index Price Earnings Ratio (P/E),MSCI China MXCN Index Price Earnings Ratio (P/E),MSCI Asia Pacific MXAP Index Price Earnings Ratio (P/E),Indonesia Motor vehicle sales IDVHCLOC Index Last Price, EHUPUS Index PX_LAST,GDP QoQ % GDP CQOQ Index PX_LAST, EHUPUS Index PX_LAST.1, MXAPJ Index PE_RATIO, MXAPJ Index PX_TO_BOOK_RATIO, MXAPJ Index PX_TO_SALES_RATIO, SHASHR Index PX_TO_BOOK_RATIO, JAPAN (10 YEAR ISSUE) GTJPY10Y Govt,1D US EXP1CYOY Index Last Price,1D Chinese Renminbi USDCNY Curncy Last Price,1D Indonesian Rupiah USDIDR Curncy Last Price,1D WTI Crude CL1 Comdty Last Price,1D Crude Palm oil KO3 Comdty Last Price,1D Gold XAU Curncy Last Price,1D Crude Palm Oil KO3 Comdty Last Price,1D Dow Jones US real estate index DJUSRE Index Last Price,1D Topix Japan TPX Index Last Price,1D Germany EHUPDE Index Last Price,1D France EHUPFR Index Last Price,1D Italy EHUPIT Index Last Price,1D UK EHUPGB Index Last Price,1D Japan EHUPJP Index Last Price,1D US 10yr Govt Bond Yield USGG10YR Index Last Price,1D Germany Govt 10yr bond yield GDBR10 Index Last Price,1D Libor US0003M Index Last Price,1D S&P 500 SPX Index BEst EPS,1D  MXAPJ Index PX_LAST,1D  MXAPJ Index PE_RATIO,1D  MXAPJ Index PX_TO_BOOK_RATIO,1D  SHASHR Index PX_TO_SALES_RATIO,1D  SPX Index PE_RATIO,1D  SPX Index IDX_EST_EARNINGS_NXT_YR,1D  TR/CC CRB ER Index CRY Index,2D US CONSSENT Index Last Price,2D China CHCSCONF Index Last Price,2D US EXP1CYOY Index Last Price,2D Germany GRTBEXE Index Last Price,2D Chinese Renminbi USDCNY Curncy Last Price,2D Crude Palm oil KO3 Comdty Last Price,2D LME Copper LMCADY Comdty Last Price,2D Crude Palm Oil KO3 Comdty Last Price,2D Euro Stoxx SX5E Index Last Price,2D Hong Kong China enterprises index HSCEI Index Last Price,2D Germany EHUPDE Index Last Price,2D France EHUPFR Index Last Price,2D Germany Govt 10yr bond yield GDBR10 Index Last Price,2D S&P 500 SPX Index BEst EPS,2D S&P 500 SPX Index Index Est Earnings Next Year,2D MSCI China MXCN Index Price Earnings Ratio (P/E),2D MSCI Asia Pacific MXAP Index Price Earnings Ratio (P/E),2D  VIX Index PX_LAST,2D  EHUPUS Index PX_LAST,2D  EHUPUS Index PX_LAST.1,2D  MXAPJ Index RETURN_COM_EQY,2D  German Government Bonds 10 Yr GDBR10 Index
0,AAPL UW Equity,13,0.5799814306335701,0.7615651191024775,0.2079460821529698,85.18518518518519,0.6322826131882575,0.802091505116038,0.18615022938853443,86.11111111111111,0.0,-0.28925527309604554,0.0,0.07427508550550918,0.0,-0.6710572483834905,0.0,0.4877580030021842,-0.6718427159519447,-0.30247244014562447,0.0,0.0,0.0,0.0,0.0,-0.22212058065182227,0.0,0.0,0.0,0.22689379336948542,0.22689379336948456,0.0,0.0,0.0,0.0,0.0,0.0,-0.31652041011839044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10903456445018989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0930940936861024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ABT UN Equity,8,0.5092052949458188,0.7135862211014298,0.08012980839836542,73.95833333333334,0.5303826110918561,0.7356713827566447,0.07898877865315114,78.57142857142857,0.0,0.0,-4.532989499027232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06748144764669792,0.0,0.0,0.09405233048030145,0.0,-0.08858188150006352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04343593592451006,0.0,-0.06939221627238011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043762237724786913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ACN UN Equity,16,0.7812826455267196,0.8839019433889254,0.06736435913730256,90.14084507042254,0.3001003782006819,0.5840564325788234,0.1205552213504986,74.19354838709677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08031703461020345,0.0,0.0,-0.14201750531816654,-0.1965384876324561,-0.2688732563288898,0.2701247179831305,0.0,0.07341063420286358,0.0,0.0,0.0,-0.08038519118193743,0.0,-0.08038519118193745,-0.5982782391224631,0.2241379523370156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0881189408298215,0.0,0.0,-0.09119489866025365,0.07300112962766889,0.0,0.0,0.0,0.03707236025048126,0.0,0.0,0.0,0.0,0.0,-0.05979530774257605,0.034391360644041497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ADBE UW Equity,14,0.8204195728369399,0.9057701545298009,0.13279708770042004,81.44329896907216,0.6321151636030694,0.8217753251680493,0.16814897201513462,90.47619047619048,0.0,0.0,0.0,0.0,0.0,-0.8067052768400413,0.0,0.0,0.0,0.2130976231840141,-0.42751965084203003,0.0,-0.28636726356686815,0.2597136813996438,-0.3931774943046471,0.0,-1.0056235083505,0.0,0.0,-0.0647011986878099,-0.0647011986878089,0.0,0.0,0.0,0.0,0.0,0.667716935383045,-0.5059228923466939,0.0,0.0,0.0,-0.1955102773158749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12475517844218763,0.0,0.0,0.0,0.0,0.06245858881005494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AMGN UW Equity,15,0.7197339286579243,0.8483713388946637,0.11252534017369879,70.0,0.4421152701305797,0.7328913677261886,0.13256354586005972,79.54545454545455,0.0,0.0,0.0,0.0,0.0,-0.46543277564547697,0.22512822408143982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26481110338471053,0.0,0.5840980956309488,0.2078532226659179,0.0,0.0,0.0,0.0,-0.12209366190377988,0.0,-0.12209366190377993,0.10349252749921249,-0.13693010124494656,0.0,0.0,-0.08658271582965926,0.06635455265656248,-0.15746791747871514,0.0,0.0,0.0,0.0,-0.055043455800855075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1105921608106313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,BA UN Equity,10,0.6863412466228093,0.8284571483322531,0.10914464853553649,85.54216867469879,0.5234666590624545,0.7616061496647849,0.11667417223480782,94.44444444444444,0.0,0.0,0.0,0.0,-0.07678550032495525,0.0,-0.1487181469267548,0.0,0.0,0.14799001158400632,-0.2486689779404985,-0.1653253631929124,-0.15616876200469273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14461806669147348,0.0,-0.14461806669147284,-0.11948085604535913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03992615857840288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,BDX UN Equity,15,0.5628240275682255,0.750215987278481,0.0929932675080091,78.0,0.5607838295372745,0.7491627979709191,0.083070693716683,84.0909090909091,0.0,2.112057227033717,0.0,0.0,0.0,-1.8566777343108405,0.0,0.0,0.0,0.0,0.0,0.0,-0.14338547578608957,0.13588430506030266,0.0,0.11185863742595437,0.0,-0.19808729379815976,0.0,0.02602366089912216,0.02602366089911973,0.0,0.041400375545118516,0.03989689655396659,0.041400375545118905,0.0,0.0,-0.06548927536237135,0.0,0.0,0.0,0.0,0.026631513746634864,0.0,0.0,0.0,0.0,0.0,0.0,-0.0430708409383474,0.0,0.0,-0.01763657517321016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,BMY UN Equity,12,0.6824828031462027,0.8261251740179592,0.08047852617919285,79.12087912087912,0.4555220545258625,0.709644321267888,0.10437951672190342,65.0,0.0,0.0,-6.509324430811554,0.0,0.0,0.0,0.09687059570605412,0.27044225215752243,0.0,0.08931333364998492,-0.1452039236951675,0.0,0.0,0.0,-0.22031880073999827,0.0,0.0,0.061911784796901896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09873413589607097,0.19354782282156116,-0.18939554790643276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03467684186629274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CAT UN Equity,13,0.6996498423764214,0.8364507411536087,0.10582763256294268,82.6530612244898,0.5082374906527976,0.731164729817329,0.118364487600853,83.33333333333334,0.0,2.197351145644911,0.0,0.1807187191288939,0.0,0.0,0.0,0.15592054203168634,0.2753292088576073,0.0,-0.21132272756596074,-0.13175962736882224,0.0,0.0,0.0,-0.16552524035766364,0.0,0.0,0.14037268697639765,0.0,0.0,0.14552193649911244,0.0,0.0,0.0,-0.06117348446452891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08675792616827305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0738539530378016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CI UN Equity,11,0.6990625692277794,0.8360996168087746,0.13156874480419187,82.02247191011236,0.3590360950490018,0.6433578971644776,0.1807942548063749,74.35897435897436,0.0,4.8318034665076794,0.0,0.0,0.0,0.0,-0.12648799227082877,0.0,0.0,-0.14034618888865816,0.0,-0.06108299574998496,-0.2735470846593906,0.0,0.0,0.0,0.49325141200065237,0.0,0.0,0.0,0.0,0.0,-0.20400513964654635,0.0,-0.20400513964655057,-0.0605423409192552,-0.1343348144484656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
